"425801823","1206 KENSINGTON AVENUE, SANTA MARIA, CA, 93454","Match","Exact","1206 KENSINGTON AVE, SANTA MARIA, CA, 93454","-120.415772421917,34.963548448097","108595748","R"
"496802052","3101 BRUSH CREEK ROAD, SANTA ROSA, CA, 95404","Match","Exact","3101 BRUSH CREEK RD, SANTA ROSA, CA, 95404","-122.678649403867,38.479064480312","647481986","L"
"306005960","1 WITHERSPOON, IRVINE, CA, 92604","Match","Exact","1 WITHERSPOON, IRVINE, CA, 92604","-117.792029853318,33.672659695174","635426953","L"
"306005962","710 S. NEWCASTLE DRIVE, ANAHEIM, CA, 92804","Match","Exact","710 S NEWCASTLE DR, ANAHEIM, CA, 92804","-117.985717674038,33.822465479678","609068624","L"
"306004630","5581 LIME AVENUE, CYPRESS, CA, 90630","Match","Exact","5581 LIME AVE, CYPRESS, CA, 90630","-118.035387336965,33.825205567198","143999727","L"
"306005961","2971 SALMON DR., ROSSMOOR, CA, 90720","Match","Exact","2971 SALMON DR, ROSSMOOR, CA, 90720","-118.081843143985,33.781469342266","144002651","L"
"425801828","924 VIA LOS PADRES, SANTA BARBARA, CA, 93111","Match","Exact","924 VIA LOS PADRES, SANTA BARBARA, CA, 93111","-119.791825881822,34.454263533892","108602240","R"
"306005965","25422 PACIFICA AVE, MISSION VIEJO, CA, 92691","Match","Exact","25422 PACIFICA AVE, MISSION VIEJO, CA, 92691","-117.68737013343,33.611216883262","144064495","R"
"347005257","1180 CORPORATE WAY, SACRAMENTO, CA, 95831","Match","Exact","1180 CORPORATE WAY, SACRAMENTO, CA, 95831","-121.518306596019,38.49300913389","133392591","R"
"191592947","16409 WOODRUFF AVENUE, BELLFLOWER, CA, 90706","No_Match"
"306004637","23741 SINGAPORE STREET, MISSION VIEJO, CA, 92691","Match","Exact","23741 SINGAPORE ST, MISSION VIEJO, CA, 92691","-117.685734782644,33.61769499721","144064235","R"
"306005959","13611 WHEELER PLACE, NORTH TUSTIN, CA, 92780","Match","Non_Exact","13611 WHEELER PL, TUSTIN, CA, 92780","-117.824456273673,33.765925774992","144052988","R"
"306004628","25492 MAXIMUS STREET, MISSION VIEJO, CA, 92691","Match","Exact","25492 MAXIMUS ST, MISSION VIEJO, CA, 92691","-117.685467962815,33.602778100836","144064549","R"
"306004629","24961 SOUTHPORT STREET, LAGUNA HILLS, CA, 92653","Match","Exact","24961 SOUTHPORT ST, LAGUNA HILLS, CA, 92653","-117.693540881826,33.598765799093","144064585","R"
"347005251","8350 FAIR OAKS BLVD, CARMICHAEL, CA, 95608","Match","Exact","8350 FAIR OAKS BLVD, CARMICHAEL, CA, 95608","-121.307032190388,38.636431944777","133383344","R"
"392701000","3028 MCCOOK WAY, STOCKTON, CA, 95206","Match","Exact","3028 MCCOOK WAY, STOCKTON, CA, 95206","-121.233046869732,37.920051241311","133928958","R"
"092700182","3336 COUNTY CLUB DRIVE, CAMERON PARK, CA, 95682","No_Match"
"197604444","1533 N. STANLEY AVE., LOS ANGELES, CA, 90046","Match","Exact","1533 N STANLEY AVE, LOS ANGELES, CA, 90046","-118.356174807038,34.098667926178","142674721","L"
"197604445","1156 N. GARDNER ST., WEST HOLLYWOOD, CA, 90046","No_Match"
"306005971","8742 CYPRESS AVE., CYPRESS, CA, 90630","Match","Exact","8742 CYPRESS AVE, CYPRESS, CA, 90630","-118.033108972157,33.836916567408","143999576","L"
"306004640","2891 BEAR ST, COSTA MESA, CA, 92626","Match","Exact","2891 BEAR ST, COSTA MESA, CA, 92626","-117.89025503562,33.677091621104","649791186","L"
"306005972","9371 EL VALLE AVE, FOUNTAIN VALLEY, CA, 92708","Match","Exact","9371 EL VALLE AVE, FOUNTAIN VALLEY, CA, 92708","-117.965250918988,33.708280071597","144037933","L"
"306005975","10542 SHERRILL ST., ANAHEIM, CA, 92804","Match","Exact","10542 SHERRILL ST, ANAHEIM, CA, 92804","-117.979491026577,33.809726216737","144012118","L"
"374600289","8554 CALLE NORTE, LEMON GROVE, CA, 91945","Match","Exact","8554 CLL NORTE, LEMON GROVE, CA, 91945","-117.016951280969,32.732700425492","195360625","L"
"306005974","2630 RAINIER WAY, LA HABRA, CA, 90631","Match","Exact","2630 RAINIER WAY, LA HABRA, CA, 90631","-117.976027819054,33.93702084604","143997676","L"
"306005977","17688 SAN FRANCISCO ST, FOUNTAIN VALLEY, CA, 92708","Match","Exact","17688 SAN FRANCISCO ST, FOUNTAIN VALLEY, CA, 92708","-117.946245300184,33.706010710793","144038351","L"
"306004645","113 S. ORANGE HILL LANE, ANAHEIM HILLS, CA, 92807","Match","Non_Exact","113 S ORANGE HILL LN, ANAHEIM, CA, 92807","-117.801533998969,33.850161604673","144032704","R"
